-1 quality
1.1 good
2.2 bad
-2 size
2.1 big
2.1.1 huge
2.1.2 gigantic
2.1.3 tall
2.1.4 wide
2.1.5 fat
2.2 small
2.2.1 tiny
2.2.2 short
2.2.3 skinny
-3 color 
3.1 red
3.1.1 red
3.1.2 orange
3.1.3 yellow
3.2 yellow
3.3 green
3.3.1 green
3.3.2 yellow
3.4 blue
3.4.1 blue
3.4.2 purple
3.5 purple
3.6 gray
3.6.1 gray
3.6.2 black
3.6.3 white
-4 speed
4.1 fast
4.2 slow
-5 emotion
5.1 happy
5.2 sad
5.3 calm
5.4 angry
5.5 annoyed
-6 appearance
-6.1 good
6.1.1 beautiful
6.1.1.1 addorable
6.1.1.2 clean
6.1.1.3 hadsome
6.1.2 elegant
6.1.3 glamorous
6.1.3.1 sparkling
6.1.4 magnificent
-6.2 poor
6.2.1 plain
6.2.1.1 borring
6.2.2 ugly
6.2.3 old-fasioned
-7 condition
-7.1 good
7.1.1 careful
7.1.2 gifted
7.1.2.1 clever
7.1.2.2 smart
7.1.3 easy
7.1.4 powerful
7.1.4.1 important
7.1.4.2 famous
7.1.4.3 rich
7.1.5 helpful
-7.2 bad
7.2.1 hard
7.2.2 expensive
7.2.3 cheap
7.2.4 odd
7.2.6 weak
7.2.5 shy
7.2.6 uniterested
-7.3 living
7.3.1 alive
7.3.2 dead
-8 Personality
-8.1 Positive
8.1.1 happy
8.1.1.1 delightful
8.1.1.2 jolly
8.1.1.3 lively
8.1.2 silly
8.1.3 manly
8.1.3.1 brave
8.1.3.2 proud
8.1.3.3 victorious
8.1.4 trying
8.1.4.1 eager
8.1.4.2 thankful
8.1.5 nice
8.1.5.1 kind
8.1.5.2 gentile
8.1.5.3 agreable
8.1.6 honerable
8.1.6.1 faithful
8.1.6.2 obedient
8.1.1 happy
-8.2 Negative
-8.2.1 state
8.2.1.1 sad
8.2.1.1.1 grumpy
8.2.1.1 defeated
8.2.1.3 helpless
8.2.1.4 worried
8.2.1.4.1 nervous
8.2.1.5 scary
-8.2.2 emotion
8.2.2 angry
8.2.2.1 bewildered
8.2.2.2 fierce
8.2.2.3 jellous
8.2.1.2 embarrassed
-8.2.3 naturaly occoring
8.2.3.1 clumsy
8.2.3.1 itchy
-8.2.4 trait
8.2.4.1 lazy
8.2.4.2 obnoxious
8.2.4.2.1 thoughtless
8.2.4.3 repulsive
8.2.4.4 uptigh
-9 Shape adjectives
-9.1 object
9.1.1 flat
9.1.1.1 square
9.1.1.2 round
9.1.1.3 wide
9.1.2 high
-9.2 container
9.2.1 broad
9.2.2 deep
9.2.3 hollow
9.2.4 shallow
-9.3 passage
9.3.1 low
9.3.2 narrow
9.3.2 steep
9.3.3 straight
-10 Size adjectives
10.1 big
10.1.1 big
10.1.1.1 gigantic
10.1.1.2 colossal
10.1.1.3 huge
10.1.1.4 immense
10.1.1.5 large
10.1.1.6 great
10.1.2 tall
10.1.3 fat
10.1.3.1 mammoth
10.1.3.1 massive
10.2 small 
10.2.1 little
10.2.1.1 miniature
10.2.1.2 petite
10.2.1.3 teeny
10.2.1.4 teeny-tiny
10.2.1.5 tiny
10.2.1.6 puny
10.2.2 skinny
10.2.2.1 scrawny
-11 Sound adjectives
11.1 loud
11.1.1 deafening
11.1.1.1 thundering
11.1.2 screeching
11.1.3 noisy
11.2 quiet
11.2.1 faint
11.2.2 whispering
11.2.3 hissing
11.3 melodic
11.3.1 harmonic
-12 Time adjectives
-12.1 life
12.1.1 style
12.1.1.1 ancient
12.1.1.1.1 old-fashioned
12.1.1.2 modern
12.1.2 young
12.1.3 old
-12.2 duration
12.2.1 long
12.2.2 quick
12.2.2.3 short
12.2.2.4 fast
12.2.2.5 brief
-12.3 occasion
12.3.1 early
12.3.2 late
-12.4 speed
12.4.1 fast
12.4.1.3 rapid
12.4.1.4 swift
12.4.2 slow
-13 Taste/touch adjectives
13.1 tasty
13.1.3 delicious
13.1.4 yummy
13.2 nasty
13.2.1 tasteless
-13.3 age
13.3.1 fresh
13.3.2 old
13.3.2.1 rotten
-13.4 heat
13.4.1 hot
13.4.2 icy
13.4.3 warm 
-13.5 basic
13.5.3 salty
13.5.4 sweet
13.5.5 bitter
-13.6 touch
13.6.3 sticky
13.6.4 greasy
13.6.5 juicy
-13.6.7 strength
13.6.7.1 strong
13.6.7.2 weak
13.6.8 uneven
13.6.9 wet
-14 Touch adjectives
-14.3 liquid
14.3.1 boiling
-14.4 surface
-14.4.3 wetness
14.4.3.1 wet
14.4.3.1.3 damp
14.4.3.2 dry
-14.4.4 smoothness 
14.4.4.1 bumpy
14.4.4.2 smooth
-14.4.5 cleanness
14.4.5.1 dirty
14.4.5.1.3 dusty
14.4.5.1.4 filthy
14.4.5.2 clean
-14.5 temp
14.5.1 cold
14.5.1.3 chilly
14.5.1.4 cool
14.5.1.5 freezing
14.5.2 hot
14.5 warm
14.6 toughness
-14.6.1 soft
14.6.1.3 cuddly
14.6.1.4 curly
14.6.1.5 fluffy
-14.6.2 hard
-15 Quantity adjectives
-15.1 many
15.1.3 numerous
15.1.4 abundant
15.2 few
15.2.3 sparse
15.3.1 empty
15.3.2 full
15.4.1 heavy
15.4.2 light
