-0.1.1 abstract_entity
-0.1.1.0 abstraction
-0.1.1.0.0 psychological_feature
-0.1.1.0.0.0 cognition
-0.1.1.0.0.0.1 place
-0.1.1.0.0.0.2 public_knowledge
0.1.1.0.0.0.2.2 open
-0.1.1.0.0.0.4 ability
-0.1.1.0.0.0.4.0 know-how
-0.1.1.0.0.0.4.0.1 wisdom
-0.1.1.0.0.0.4.0.1.0 astuteness
0.1.1.0.0.0.4.0.1.0.0 deep
-0.1.1.0.0.0.4.2 intelligence
-0.1.1.0.0.0.4.2.0 brain
0.1.1.0.0.0.4.2.0.1 mental
0.1.1.0.0.0.4.2.0.2 mental
-0.1.1.0.0.0.4.2.1 breadth
0.1.1.0.0.0.4.2.1.1 large
0.1.1.0.0.0.4.2.1.2 comprehensive
-0.1.1.0.0.0.4.2.5 mental_quickness
0.1.1.0.0.0.4.2.5.1 quick
-0.1.1.0.0.0.4.2.10 brightness
0.1.1.0.0.0.4.2.10.0 bright
0.1.1.0.0.0.4.2.10.1 smart
0.1.1.0.0.0.4.2.10.3 bright
0.1.1.0.0.0.4.2.13 intelligent
-0.1.1.0.0.0.4.6 creativity
0.1.1.0.0.0.4.6.6 creative
0.1.1.0.0.0.4.6.7 creative
-0.1.1.0.0.0.4.7 originality
-0.1.1.0.0.0.4.7.2 novelty
0.1.1.0.0.0.4.7.2.0 fresh
-0.1.1.0.0.0.4.12 faculty
-0.1.1.0.0.0.4.12.4 sense
-0.1.1.0.0.0.4.12.4.1 sensitivity
0.1.1.0.0.0.4.12.4.1.6 sensitive
0.1.1.0.0.0.4.12.4.1.8 sensitive
-0.1.1.0.0.0.5 inability
-0.1.1.0.0.0.5.1 stupidity
-0.1.1.0.0.0.5.1.3 folly
0.1.1.0.0.0.5.1.3.0 crazy
0.1.1.0.0.0.5.1.5 stupid
0.1.1.0.0.0.10 equivalent
-0.1.1.0.0.0.11 process
-0.1.1.0.0.0.11.0 basic_cognitive_process
-0.1.1.0.0.0.11.0.3 perception
-0.1.1.0.0.0.11.0.3.4 sensation
-0.1.1.0.0.0.11.0.3.4.4 taste
0.1.1.0.0.0.11.0.3.4.4.1 sweet
0.1.1.0.0.0.11.0.3.4.4.3 bitter
0.1.1.0.0.0.11.0.3.4.4.4 salty
0.1.1.0.0.0.11.0.3.4.4.5 spicy
0.1.1.0.0.0.11.0.3.4.4.6 sour
-0.1.1.0.0.0.11.0.3.5 somesthesia
-0.1.1.0.0.0.11.0.3.5.0 feeling
-0.1.1.0.0.0.11.0.3.5.0.0 constriction
0.1.1.0.0.0.11.0.3.5.0.0.0 tight
-0.1.1.0.0.0.11.0.3.5.4 temperature
0.1.1.0.0.0.11.0.3.5.4.1 cold
0.1.1.0.0.0.11.0.3.5.4.1.0 hot
-0.1.1.0.0.0.11.0.6 classification
-0.1.1.0.0.0.11.0.6.0 appraisal
-0.1.1.0.0.0.11.0.6.0.0 critical_appraisal
-0.1.1.0.0.0.11.0.6.0.0.0 criticism
0.1.1.0.0.0.11.0.6.0.0.0.3 critical
-0.1.1.0.0.0.11.1 higher_cognitive_process
-0.1.1.0.0.0.11.1.0 thinking
-0.1.1.0.0.0.11.1.0.9 explanation
0.1.1.0.0.0.11.1.0.9.1 key
-0.1.1.0.0.0.11.1.2 decision_making
0.1.1.0.0.0.11.1.2.5 choice
-0.1.1.0.0.0.11.1.2.7 option
-0.1.1.0.0.0.11.1.2.7.3 possibility
0.1.1.0.0.0.11.1.2.7.3.0 possible
-0.1.1.0.0.0.11.1.2.7.4 impossibility
0.1.1.0.0.0.11.1.2.7.4.0 impossible
-0.1.1.0.0.0.15 content
-0.1.1.0.0.0.15.0 tradition
0.1.1.0.0.0.15.0.0 traditional
-0.1.1.0.0.0.15.10 representation
-0.1.1.0.0.0.15.10.8 percept
-0.1.1.0.0.0.15.10.8.2 visual_percept
-0.1.1.0.0.0.15.11 belief
-0.1.1.0.0.0.15.11.2 doctrine
-0.1.1.0.0.0.15.11.2.49 philosophical_doctrine
-0.1.1.0.0.0.15.11.2.49.11 idealism
0.1.1.0.0.0.15.11.2.49.11.0 ideal
-0.1.1.0.0.0.15.11.8 opinion
-0.1.1.0.0.0.15.11.8.3 politics
0.1.1.0.0.0.15.11.8.3.0 political
-0.1.1.0.0.0.15.11.12 religion
0.1.1.0.0.0.15.11.12.25 clean
-0.1.1.0.0.0.15.11.30 spiritual_being
-0.1.1.0.0.0.15.11.30.6 spirit
0.1.1.0.0.0.15.11.30.6.13 familiar
-0.1.1.0.0.0.15.14 goal
-0.1.1.0.0.0.15.14.0 aim
0.1.1.0.0.0.15.14.0.1 business
-0.1.1.0.0.0.15.16 experience
0.1.1.0.0.0.15.16.1 life
-0.1.1.0.0.0.15.19 ignorance
-0.1.1.0.0.0.15.19.1 inexperience
0.1.1.0.0.0.15.19.1.1 raw
-0.1.1.0.0.0.15.19.2 unenlightenment
0.1.1.0.0.0.15.19.2.0 dark
-0.1.1.0.0.0.15.20 knowledge_domain
-0.1.1.0.0.0.15.20.1 discipline
0.1.1.0.0.0.15.20.1.1 major
-0.1.1.0.0.0.15.20.1.7 science
-0.1.1.0.0.0.15.20.1.7.0 natural_science
-0.1.1.0.0.0.15.20.1.7.0.0 life_science
-0.1.1.0.0.0.15.20.1.7.0.0.0 biology
-0.1.1.0.0.0.15.20.1.7.0.0.0.13 physiology
0.1.1.0.0.0.15.20.1.7.0.0.0.13.14 automatic
0.1.1.0.0.0.15.20.1.7.0.0.0.48 natural
0.1.1.0.0.0.15.20.1.7.0.0.0.75 mental
-0.1.1.0.0.0.15.20.1.7.0.0.9 medical_science
-0.1.1.0.0.0.15.20.1.7.0.0.9.6 medicine
0.1.1.0.0.0.15.20.1.7.0.0.9.6.50 medical
-0.1.1.0.0.0.15.20.1.7.0.1 chemistry
0.1.1.0.0.0.15.20.1.7.0.1.11 basic
0.1.1.0.0.0.15.20.1.7.0.1.38 chemical
